,Banku,Tihlo,American,Manti,Joshpara,Jiaozi,Guotie,Wonton,Gujia,Samosa,Kozhukkatta,Modak,Kachori,Momo,Pitha,Nevryo,Siomay,Dango,Baozi,Buuz,Khuushuur,Yomari,Empanada,Pastei,Coxinha,Pantruca,Bunuelo,Tamale,Pastel,Paime,British,Cotswold,Clootie,Knodel,Maultasche,Halusky,Shlishkes,Knedlik,Khinkali,Pierogi,Tortellini,Arancini,Bitterbal,Kreplach,Pelmeni,Kluski,Kalduny,Cepelinai,Burek,Ravioli,Gnocchi,Calzone,Pastizz,Kroppkaka,Palt,Asida,Qatayef,Kibbeh,Mataz,MatzahBall,Knish
Coxinha,6,5,5,4,4,5,4,4,3,2,4,7,2,6,6,3,4,7,4,3,3,5,3,2,0,5,4,6,4,5,5,2,6,7,4,5,7,6,5,6,4,1,2,5,5,5,6,4,5,4,7,3,4,4,4,6,6,6,5,3,3
Pantruca,1,2,0,5,3,4,5,5,6,5,3,6,5,7,7,6,5,6,5,4,4,6,6,5,5,0,5,7,5,2,0,5,5,4,3,2,4,3,4,5,3,6,5,4,4,0,5,3,6,3,2,4,5,3,3,1,7,5,4,2,6
Bunuelo,6,5,5,6,6,7,6,6,3,4,4,7,2,6,4,3,6,7,4,5,5,5,5,2,4,5,0,6,4,5,5,2,4,3,6,7,5,4,7,6,6,3,4,7,7,5,8,6,5,6,5,5,6,6,6,4,6,8,7,5,5
Tamale,6,7,7,2,4,3,4,4,5,4,4,3,4,2,6,5,2,5,2,3,5,3,7,4,6,7,6,0,2,5,7,6,6,5,4,7,7,6,5,4,4,7,8,5,5,7,6,4,3,4,7,5,4,4,4,6,4,8,3,5,7
Pastel,6,5,5,2,4,3,4,4,3,4,2,3,2,2,4,3,2,5,0,1,3,1,5,2,4,5,4,2,0,3,5,4,4,5,4,7,7,6,5,4,4,5,6,5,5,5,6,4,3,4,7,3,4,4,4,4,4,6,3,3,5
Paime,3,2,2,3,5,4,5,5,6,5,5,6,5,5,5,6,3,8,3,2,4,4,6,5,5,2,5,5,3,0,2,5,7,6,5,4,6,5,6,7,5,6,5,6,6,2,7,5,6,5,4,4,5,5,5,3,7,7,4,4,6
British,1,2,0,5,3,4,5,5,6,5,3,6,5,7,7,6,5,6,5,4,4,6,6,5,5,0,5,7,5,2,0,5,5,4,3,2,4,3,4,5,3,6,5,4,4,0,5,3,6,3,2,4,5,3,3,1,7,5,4,2,6
Cotswold,6,5,5,4,4,5,4,4,3,2,4,7,2,6,6,3,4,7,4,3,3,5,3,2,2,5,2,6,4,5,5,0,4,5,4,7,7,4,5,6,4,1,2,5,5,5,6,4,5,4,5,3,4,4,4,6,6,6,5,3,3
Clootie,6,7,5,6,4,5,6,6,3,6,2,3,4,6,8,3,6,3,4,5,5,3,7,4,6,5,4,6,4,7,5,4,0,3,4,7,5,4,5,4,4,5,6,5,5,5,6,4,5,4,5,5,6,4,4,4,4,6,5,3,7
Knodel,3,6,4,7,5,6,7,7,6,7,3,6,5,7,7,6,7,6,5,6,6,6,8,5,7,4,3,5,5,6,4,5,3,0,5,4,2,1,6,5,5,6,7,6,6,4,7,3,6,5,2,6,7,3,3,3,7,7,6,4,8
Maultasche,4,5,3,2,0,1,2,2,5,2,2,3,4,4,8,5,2,3,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,5,0,5,7,4,1,2,0,5,6,1,1,3,2,2,3,0,5,3,2,2,2,4,4,4,1,1,5
Halusky,1,4,2,7,5,6,7,7,8,7,5,8,7,9,9,8,7,8,7,6,6,8,8,7,5,2,7,7,7,4,2,7,7,4,5,0,2,3,6,7,5,6,5,6,6,2,7,3,8,5,2,6,7,3,3,3,9,7,6,4,8
Shlishkes,3,6,4,9,7,8,9,9,8,9,5,8,7,9,9,8,9,8,7,8,8,8,10,7,7,4,5,7,7,6,4,7,5,2,7,2,0,3,8,7,7,6,5,8,8,4,9,5,8,7,2,8,9,5,5,3,9,9,8,6,10
Knedlik,2,5,3,6,4,5,6,6,7,6,4,7,6,8,8,7,6,7,6,5,5,7,7,6,6,3,4,6,6,5,3,4,4,1,4,3,3,0,5,6,4,5,6,5,5,3,6,2,7,4,1,5,6,2,2,4,8,6,5,3,7
Khinkali,5,6,4,3,1,2,1,1,6,3,3,4,5,3,7,6,3,2,5,4,2,6,4,5,5,4,7,5,5,6,4,5,5,6,1,6,8,5,0,1,1,6,7,0,0,4,1,3,4,1,6,4,3,3,3,5,3,3,2,2,4
Pierogi,6,7,5,4,2,3,2,2,5,4,2,3,4,2,6,5,4,1,4,5,3,5,5,4,6,5,6,4,4,7,5,6,4,5,2,7,7,6,1,0,2,7,8,1,1,5,2,4,3,2,7,5,4,4,4,4,2,4,3,3,5
Tortellini,4,5,3,2,0,1,2,2,5,2,2,3,4,4,8,5,2,3,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,5,0,5,7,4,1,2,0,5,6,1,1,3,2,2,3,0,5,3,2,2,2,4,4,4,1,1,5
Arancini,7,6,6,5,5,6,5,5,4,3,5,8,3,7,7,4,5,8,5,4,4,6,4,3,1,6,3,7,5,6,6,1,5,6,5,6,6,5,6,7,5,0,1,6,6,6,7,5,6,5,6,4,5,5,5,7,7,7,6,4,4
Bitterbal,6,5,5,6,6,7,6,6,5,4,6,9,4,8,8,5,6,9,6,5,5,7,5,4,2,5,4,8,6,5,5,2,6,7,6,5,5,6,7,8,6,1,0,7,7,5,8,6,7,6,5,5,6,6,6,6,8,8,7,5,5
Kreplach,5,6,4,3,1,2,1,1,6,3,3,4,5,3,7,6,3,2,5,4,2,6,4,5,5,4,7,5,5,6,4,5,5,6,1,6,8,5,0,1,1,6,7,0,0,4,1,3,4,1,6,4,3,3,3,5,3,3,2,2,4
Pelmeni,5,6,4,3,1,2,1,1,6,3,3,4,5,3,7,6,3,2,5,4,2,6,4,5,5,4,7,5,5,6,4,5,5,6,1,6,8,5,0,1,1,6,7,0,0,4,1,3,4,1,6,4,3,3,3,5,3,3,2,2,4
Kluski,1,2,0,5,3,4,5,5,6,5,3,6,5,7,7,6,5,6,5,4,4,6,6,5,5,0,5,7,5,2,0,5,5,4,3,2,4,3,4,5,3,6,5,4,4,0,5,3,6,3,2,4,5,3,3,1,7,5,4,2,6
Kalduny,6,7,5,4,2,3,2,2,7,4,4,5,6,4,6,7,4,3,6,5,3,7,3,6,6,5,8,6,6,7,5,6,6,7,2,7,9,6,1,2,2,7,8,1,1,5,0,4,3,2,7,3,2,4,4,6,4,2,3,3,3
Cepelinai,2,5,3,4,2,3,4,4,5,4,2,5,4,6,8,5,4,5,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,3,2,3,5,2,3,4,2,5,6,3,3,3,4,0,5,2,3,3,4,0,0,4,6,4,3,1,5
Burek,7,6,6,3,3,4,3,3,4,3,3,4,3,3,5,4,3,4,3,4,4,4,4,3,5,6,5,3,3,6,6,5,5,6,3,8,8,7,4,3,3,6,7,4,4,6,3,5,0,3,8,2,1,5,5,5,3,5,4,4,4
Ravioli,4,5,3,2,0,1,2,2,5,2,2,3,4,4,8,5,2,3,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,5,0,5,7,4,1,2,0,5,6,1,1,3,2,2,3,0,5,3,2,2,2,4,4,4,1,1,5
Gnocchi,1,4,2,7,5,6,7,7,8,7,5,8,7,9,9,8,7,8,7,6,6,8,8,7,7,2,5,7,7,4,2,5,5,2,5,2,2,1,6,7,5,6,5,6,6,2,7,3,8,5,0,6,7,3,3,3,9,7,6,4,8
Calzone,5,4,4,3,3,4,3,3,4,3,3,6,3,5,5,4,3,6,3,2,2,4,2,3,3,4,5,5,3,4,4,3,5,6,3,6,8,5,4,5,3,4,5,4,4,4,3,3,2,3,6,0,1,3,3,5,5,3,4,2,2
Pastizz,6,5,5,2,2,3,2,2,5,2,4,5,4,4,6,5,2,5,4,3,3,5,3,4,4,5,6,4,4,5,5,4,6,7,2,7,9,6,3,4,2,5,6,3,3,5,2,4,1,2,7,1,0,4,4,6,4,4,3,3,3
Kroppkaka,2,5,3,4,2,3,4,4,5,4,2,5,4,6,8,5,4,5,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,3,2,3,5,2,3,4,2,5,6,3,3,3,4,0,5,2,3,3,4,0,0,4,6,4,3,1,5
Palt,2,5,3,4,2,3,4,4,5,4,2,5,4,6,8,5,4,5,4,3,3,5,5,4,4,3,6,4,4,5,3,4,4,3,2,3,5,2,3,4,2,5,6,3,3,3,4,0,5,2,3,3,4,0,0,4,6,4,3,1,5
Asida,2,3,1,6,4,5,6,6,5,6,2,5,4,6,6,5,6,5,4,5,5,5,7,4,6,1,4,6,4,3,1,6,4,3,4,3,3,4,5,4,4,7,6,5,5,1,6,4,5,4,3,5,6,4,4,0,6,6,5,3,7
Qatayef,8,7,7,4,4,5,2,2,3,4,4,3,4,2,6,3,4,1,4,5,3,3,5,4,6,7,6,4,4,7,7,6,4,7,4,9,9,8,3,2,4,7,8,3,3,7,4,6,3,4,9,5,4,6,6,6,0,6,5,5,5
Kibbeh,6,7,5,6,4,5,4,4,7,6,4,7,6,6,6,7,6,5,6,5,3,7,3,6,6,5,8,8,6,7,5,6,6,7,4,7,9,6,3,4,4,7,8,3,3,5,2,4,5,4,7,3,4,4,4,6,6,0,5,3,3
Mataz,5,6,4,1,1,0,3,3,6,3,3,2,5,3,7,6,1,4,3,2,4,4,6,5,5,4,7,3,3,4,4,5,5,6,1,6,8,5,2,3,1,6,7,2,2,4,3,3,4,1,6,4,3,3,3,5,5,5,0,2,6
MatzahBall,3,4,2,3,1,2,3,3,4,3,1,4,3,5,7,4,3,4,3,2,2,4,4,3,3,2,5,5,3,4,2,3,3,4,1,4,6,3,2,3,1,4,5,2,2,2,3,1,4,1,4,2,3,1,1,3,5,3,2,0,4
Knish,7,6,6,5,5,6,3,3,4,3,5,8,3,5,3,4,5,6,5,4,2,6,0,3,3,6,5,7,5,6,6,3,7,8,5,8,10,7,4,5,5,4,5,4,4,6,3,5,4,5,8,2,3,5,5,7,5,3,6,4,0
